"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WGSUSBXN","journalArticle","2011","Buera, Francisco J; Kaboski, Joseph P; Shin, Yongseok","Finance and Development: A Tale of Two Sectors","American Economic Review","","","10.1257/aer.101.5.1964","","","2011","2023-05-12 10:27:19","2023-06-17 15:12:20","","1964-2002","","5","101","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\I4G6LCXD\Finance and Development - A Tale of Two Sectors - American Economic Review - 2011.pdf","","relevant; firm side","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8NTAWU2","journalArticle","2017","Hobijn, Bart; Schoellman, Todd","Structural Transformation by Cohort","Working Paper","","","","","This paper documents the facts of which workers are reallocated across sectors during the process of structural transformation using repeated cross-sectional microdata covering 47 countries at all levels of development. The key ﬁnding is that structural transformation aﬀects primarily the young. More than half of all structural transformation happens between cohorts, meaning that new cohorts choose diﬀerent sectors than existing ones. Half of the within-cohort reallocation happens by age 30 and most by age 40. We develop and calibrate an overlapping generations model of structural transformation with sector-speciﬁc human capital investments that replicates these and other stylized facts. The model generates much slower transitional dynamics than the standard growth model even in the face of a large, one-time shock to TFP.","2017","2023-05-12 10:27:20","2023-06-15 18:36:27","","","","","","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\8A6B9TXE\Structural Transformation by Cohort - Working Paper - 2017.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHL6J4EJ","journalArticle","2018","Dillon, Eleanor W.","Risk and Return Trade-Offs in Lifetime Earnings","Journal of Labor Economics","","","10.1086/697475","","","2018","2023-05-12 10:27:21","2023-06-16 23:43:04","","981-1021","","4","36","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\6TGCGQRH\Risk and Return Trade-Offs in Lifetime Earnings - Journal of Labor Economics - 2018.pdf; E:\_Literature_Zotero\storage\JUX84IJ6\Risk and Return Trade-Offs in Lifetime Earnings - Journal of Labor Economics - 2018.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUUKSXK4","journalArticle","2015","Neumuller, Seth","Inter-Industry Wage Differentials Revisited: Wage Volatility and the Option Value of Mobility","Journal of Monetary Economics","","","10.1016/j.jmoneco.2015.08.001","","","2015","2023-05-12 10:27:23","2023-06-16 23:53:45","","38-54","","","76","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\AN6B9KMJ\Inter-Industry Wage Differentials Revisited - Wage Volatility and the Option - Journal of Monetary Economics - 2015.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEJEWKZH","journalArticle","2016","Hawkins, William B.; Mustre-del-Rio, Jose","Financial Frictions and Occupational Mobility","Federal Reserve Bank of Kansas City Working Paper","","","10.2139/ssrn.2201909","","","2016","2023-05-12 10:27:25","2023-06-17 15:12:24","","1-29","","","","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\IBKEW5WI\Financial Frictions and Occupational Mobility - Federal Reserve Bank of Kansas City Working Paper - 2016.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYNQQWER","journalArticle","2015","Silos, Pedro; Smith, Eric","Human Capital Portfolios","Review of Economic Dynamics","","10942025","10.1016/j.red.2014.09.001","https://linkinghub.elsevier.com/retrieve/pii/S1094202514000507","","2015-07","2023-05-12 10:27:27","2023-06-16 23:15:43","2023-05-12 10:27:27","635-652","","3","18","","Review of Economic Dynamics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\PQ5YRZSR\Human Capital Portfolios - Review of Economic Dynamics - 2015.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA26N4F2","journalArticle","2020","Cubas, German; Silos, Pedro","Social Insurance and Occupational Mobility","International Economic Review","","","10.1111/iere.12422","","","2020","2023-05-12 10:27:29","2023-06-16 23:41:52","","219-240","","1","61","","","","","","","","","","en","","","","","","","","","E:\_Literature_Zotero\storage\GCQ8NV4J\Social Insurance and Occupational Mobility - International Economic Review - 2020.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZY6MB7U","journalArticle","2017","Cubas, German; Silos, Pedro","Career Choice and the Risk Premium in the Labor Market","Review of Economic Dynamics","","","10.1016/j.red.2017.02.009","","","2017","2023-05-12 10:27:35","2023-06-16 23:40:16","","1-18","","","26","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\UXWIJKW8\Career Choice and the Risk Premium in the Labor Market - Review of Economic Dynamics - 2017.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELFBXQ5Y","journalArticle","1998","Heckman, James J.; Lochner, Lance","Explaining Rising Wage Inequality: Explorations with a Dynamic General Equilibrium Model of Labor Earnings with Heterogeneous Agents","Review of Economic Dynamics","","","10.1006/redy.1997.0008","","","1998","2023-05-12 19:32:08","2023-06-16 23:53:40","","1-58","","1","1","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\Y5PGLQIA\Explaining Rising Wage Inequality - Explorations with a Dynamic General - Review of Economic Dynamics - 1998.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LP8XNFS4","journalArticle","2007","Marcet, Albert; Obiols-Homs, Francesc; Weil, Philippe","Incomplete Markets, Labor Supply and Capital Accumulation","Journal of Monetary Economics","","03043932","10.1016/j.jmoneco.2006.12.011","https://linkinghub.elsevier.com/retrieve/pii/S0304393206002558","Endogenous labor supply decisions are introduced in an equilibrium model of limited insurance against idiosyncratic shocks. Unlike in the standard case with exogenous labor (e.g. [Aiyagari, S.R., 1994. Uninsured idiosyncratic risk and aggregate saving. Quarterly Journal of Economics 109, 659–684; Huggett, M., 1997. The one-sector growth model with idiosyncratic shocks: steady states and dynamics. Journal of Monetary Economics 39, 385–403]), labor supply is likely to be lower than under complete markets. This is due to an ex post wealth effect on labor supply (rich productive agents work fewer hours) that runs counter the precautionary savings motive. As a result, equilibrium savings and output may be lower under incomplete markets. It is also found that longrun savings remain ﬁnite even when the interest rate equals the inverse of the discount factor.","2007-11","2023-05-12 19:32:11","2023-06-15 18:30:26","2023-05-12 19:32:11","2621-2635","","8","54","","Journal of Monetary Economics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\XZITXEYW\Incomplete Markets, Labor Supply and Capital Accumulation - Journal of Monetary Economics - 2007.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4H7954M","journalArticle","2003","Palacios-Huerta, Ignacio","An Empirical Analysis of the Risk Properties of Human Capital Returns","American Economic Review","","0002-8282","10.1257/000282803322157197","https://pubs.aeaweb.org/doi/10.1257/000282803322157197","","2003-05-01","2023-05-12 19:32:13","2023-05-14 09:04:48","2023-05-12 19:32:13","948-964","","3","93","","American Economic Review","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\Y2SMYBLB\An Empirical Analysis of the Risk Properties of Human Capital Returns - American Economic Review - 2003.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5U6L3KV4","journalArticle","2006","Angeletos, George-Marios; Calvet, Laurent-Emmanuel","Idiosyncratic Production Risk, Growth and the Business Cycle","Journal of Monetary Economics","","","10.1016/j.jmoneco.2005.05.016","","","2006","2023-05-12 19:32:17","2023-06-17 21:22:35","","1095-1115","","6","53","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\GABLUI7R\Idiosyncratic Production Risk, Growth and the Business Cycle - Journal of Monetary Economics - 2006.pdf","","relevant; firm side; z_read","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88ISZSSD","journalArticle","1967","Ben-Porath, Yoram","The Production of Human Capital and the Life Cycle of Earnings","Journal of Political Economy","","0022-3808, 1537-534X","10.1086/259291","https://www.journals.uchicago.edu/doi/10.1086/259291","","1967-08","2023-05-12 19:32:19","2023-06-15 18:37:33","2023-05-12 19:32:19","352-365","","4, Part 1","75","","Journal of Political Economy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\DNFXBYI9\The Production of Human Capital and the Life Cycle of Earnings - Journal of Political Economy - 1967.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UYVQ33T","journalArticle","2011","Huggett, Mark; Ventura, Gustavo; Yaron, Amir","Sources of Lifetime Inequality","American Economic Review","","","10.1257/aer.101.7.2923","","","2011","2023-05-12 19:32:21","2023-06-16 23:53:48","","2923-2954","","7","101","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\QN76HNDP\Sources of Lifetime Inequality - American Economic Review - 2011.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJDJSX5G","bookSection","1999","Browning, Martin; Hansen, Lars Peter; Heckman, James J.","Chapter 8: Micro Data and General Equilibrium Models","Handbook of Macroeconomics","978-0-444-50156-1","","","https://linkinghub.elsevier.com/retrieve/pii/S1574004899010113","","1999","2023-05-12 19:32:23","2023-06-16 23:53:59","2023-05-12 19:32:23","543-633","","","1","","","","","","","","Elsevier","","en","","","","","DOI.org (Crossref)","","DOI: 10.1016/S1574-0048(99)01011-3","","E:\_Literature_Zotero\storage\X2QQSU2V\Chapter 8 - Micro Data and General Equilibrium Models - Handbook of Macroeconomics - 1999.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4AADGBP","journalArticle","2001","Calvet, Laurent E.","Incomplete Markets and Volatility","Journal of Economic Theory","","","","","","2001","2023-05-12 19:32:25","2023-06-15 18:30:21","","295-338","","2","98","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\KAT4Z4TT\Incomplete Markets and Volatility - Journal of Economic Theory - 2001.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDCXWKFG","journalArticle","1994","Deaton, Angus; Paxson, Christina","Intertemporal Choice and Inequality","Journal of Political Economy","","","https://doi.org/10.1086/261941","","","1994","2023-05-12 19:32:26","2023-06-15 18:30:40","","437-467","","3","102","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\G4JESP62\Intertemporal Choice and Inequality - Journal of Political Economy - 1994.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEZ8U8CD","journalArticle","2015","Benzoni, Luca; Chyruk, Olena","The Value and Risk of Human Capital","Annual Review of Financial Economics","","","","","Human capital embodies the knowledge, skills, health, and values that contribute to making people productive. These qualities, however, are hard to measure, and quantitative studies of human capital are typically based on the valuation of the lifetime income that a person generates in the labor market. This article surveys the theoretical and empirical literature that models a worker’s life-cycle earnings and identiﬁes appropriate discount rates to translate those cash ﬂows into a certainty equivalent of wealth. We begin with an overview of a stylized model of human capital valuation with exogenous labor income. We then discuss extensions to this framework that study the underlying economic sources of labor income shocks, the choices that people make during their lives (such as about work, leisure, retirement, and investment in education), and the implications of these factors for human capital valuation and risk.","2015","2023-05-12 19:33:04","2023-06-15 18:37:41","","179–200","","","7","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\5K2YPJ44\The Value and Risk of Human Capital - Annual Review of Financial Economics - 2015.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQJ64UTZ","journalArticle","2012","Brown, Jeffrey; Fang, Chichun; Gomes, Francisco","Risk and Return to Education","NBER Working Paper Series","","","","","We analyze the returns to education in a life-cycle framework that incorporates risk preferences, earnings volatility (including unemployment), and a progressive income tax and social insurance system. We show that such a framework significantly reduces the measured gains from education relative to simple present-value calculations, although the gains remain significant. For example, for a range of preference parameters, we find that individuals should be willing to pay 300 to 500 (200 to 250) thousand dollars to obtain a college (high school) degree in order to benefit from the 32 to 42 percent (20 to 38 percent) increase in annual certainty-equivalent consumption. We also explore how the measured value of education varies with preference parameters, by gender, and across time. In contrast to findings in the education wage-premia literature, which focuses on present values and which we replicate in our data, our model indicates that the gains from college education were flat in the 1980s and actually decreased significantly in 1991-2007 period. On the other hand, the gains to a high school education have increased quite dramatically over time. We also show that both high school and college education help to decrease the gender gap in life-time earnings, contrary again to the conclusion from wage premia calculations.","2012","2023-05-14 10:57:46","2023-06-15 18:34:15","","1-49","","","w18300","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\FCYWZMN8\Risk and Return to Education - NBER Working Paper Series - 2012.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVMAVAQS","journalArticle","2010","Gathmann, Christina; Schönberg, Uta","How General Is Human Capital? A Task-Based Approach","Journal of Labor Economics","","0734-306X, 1537-5307","10.1086/649786","https://www.journals.uchicago.edu/doi/10.1086/649786","","2010-01","2023-05-14 11:02:41","2023-06-15 18:24:18","2023-05-14 11:02:41","1-49","","1","28","","Journal of Labor Economics","How General Is Human Capital?","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\JYEJSLQ4\How General Is Human Capital - A Task-Based Approach - Journal of Labor Economics - 2010.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6REQWCEV","journalArticle","2010","Low, Hamish; Meghir, Costas; Pistaferri, Luigi","Wage Risk and Employment Risk over the Life Cycle","American Economic Review","","","10.1257/aer.100.4.1432","","","2010","2023-05-14 11:02:43","2023-06-16 23:48:48","","1432-1467","","4","100","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\SVJMM64J\Wage Risk and Employment Risk over the Life Cycle - American Economic Review - 2010.pdf","","relevant; career choice + risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMHWB7AX","journalArticle","2017","Stantcheva, Stefanie","Optimal Taxation and Human Capital Policies over the Life Cycle","Journal of Political Economy","","","doi.org/10.1086/694291","","","2017","2023-05-14 11:06:16","2023-06-16 23:48:17","","1931-1990","","6","125","","","","","","","","","","","","","","","","","","","E:\_Literature_Zotero\storage\V387TNW4\Optimal Taxation and Human Capital Policies over the Life Cycle - Journal of Political Economy - 2017.pdf","","relevant; on-the-job hc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VH35XXNI","journalArticle","2008","He, Hui; Liu, Zheng","Investment-Specific Technological Change, Skill Accumulation, and Wage Inequality","Review of Economic Dynamics","","10942025","10.1016/j.red.2007.08.003","https://linkinghub.elsevier.com/retrieve/pii/S1094202507000506","Wage inequality between education groups in the United States has increased substantially since the early 1980s. The relative number of college-educated workers has also increased dramatically in the postwar period. This paper presents a uniﬁed framework where the dynamics of both skill accumulation and wage inequality arise as an equilibrium outcome driven by measured investmentspeciﬁc technological change. Working through equipment–skill complementarity and endogenous skill accumulation, the model does well in capturing the steady growth in the relative quantity of skilled labor during the postwar period and the substantial rise in wage inequality after the early 1980s. Based on the calibrated model, we examine the quantitative effects of some hypothetical tax-policy reforms on skill accumulation, wage inequality, and welfare.","2008-04","2023-05-14 11:26:15","2023-06-16 23:26:58","2023-05-14 11:26:15","314-334","","2","11","","Review of Economic Dynamics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\L6REBSST\Investment-Specific Technological Change, Skill Accumulation, and Wage - Review of Economic Dynamics - 2008.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNWAUK8J","journalArticle","2019","Burstein, Ariel; Morales, Eduardo; Vogel, Jonathan","Changes in Between-Group Inequality: Computers, Occupations, and International Trade","American Economic Journal: Macroeconomics","","1945-7707, 1945-7715","10.1257/mac.20170291","https://pubs.aeaweb.org/doi/10.1257/mac.20170291","We provide a unifying framework to quantify the impact of several determinants of changes in US between-group inequality. We use an assignment framework with many labor groups, equipment types, and occupations in which changes in inequality are driven by changes in workforce composition, occupation demand, computerization, and labor productivity. We parameterize the model using direct measures of computer usage within labor group-occupation pairs and quantify the impact of each shock for various dimensions of between-group inequality between 1984 and 2003. We find, for example, that computerization and shifts in occupation demand jointly account for roughly 80 percent of the rise in the skill premium, with computerization alone accounting for roughly 60 percent. In an open-economy extension of the model, we show how computerization and changes in occupation demand can be caused by changes in the extent of international trade and perform counterfactual exercises to quantify these effects. (JEL D63, J16, J22, J23, J24, J31)","2019-04-01","2023-05-14 11:26:17","2023-06-17 15:12:38","2023-05-14 11:26:17","348-400","","2","11","","American Economic Journal: Macroeconomics","Changes in Between-Group Inequality","","","","","","","en","","","","","DOI.org (Crossref)","","","","E:\_Literature_Zotero\storage\Z5VZ848I\Changes in Between-Group Inequality - Computers, Occupations, and International - American Economic Journal Macroeconomics - 2019.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3SWA4ZZ","journalArticle","1975","Fallon, P R; Layard, P R G","Capital-Skill Complementarity, Income Distribution, and Output Accounting","Journal of Political Economy","","","https://doi.org/10.1086/260323","","","1975","2023-05-14 11:26:19","2023-06-15 18:04:23","","279-301","","2","83","","","","","","","","","","en","","","","","Zotero","","","","E:\_Literature_Zotero\storage\HZC9FNCC\Capital-Skill Complementarity, Income Distribution, and Output Accounting - Journal of Political Economy - 1975.pdf","","not so relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
